"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"98",98,0.176666666666667,-0.602,0.187959565295148,0.344336095898724
"99",99,0.185,-0.558,0.241223497010975,0.473842305637904
"100",100,0.18,-0.59,0.18316318635159,0.356999971417137
"101",101,0.15,-0.648,0.185194633167905,0.344780320476322
"102",102,0.2,-0.55,0.230841897972206,0.440894267486028
"103",103,0.186666666666667,-0.576,0.182543133162693,0.373379491801517
"104",104,0.175,-0.62,0.184619790705605,0.340467865366085
"105",105,0.181666666666667,-0.564,0.193202219204824,0.389536616392097
"106",106,0.21,-0.542,0.232822570225374,0.443128948846859
"107",107,0.195,-0.566,0.207982698129168,0.398266652546522
"108",108,0.201666666666667,-0.546,0.217626080953343,0.413649758187986
"109",109,0.173333333333333,-0.608,0.223251584185353,0.412478818256409
"110",110,0.173333333333333,-0.616,0.190357105631492,0.351881241562072
"111",111,0.2,-0.544,0.220800440368945,0.43946163724749
"112",112,0.191666666666667,-0.57,0.210448446781711,0.414162543266406
"113",113,0.163333333333333,-0.612,0.208900588276608,0.415338563642939
"114",114,0.193333333333333,-0.574,0.211248314407798,0.417382514326255
"115",115,0.175,-0.61,0.191403990366828,0.365474251584744
"116",116,0.18,-0.576,0.212532510518299,0.427407944498471
"117",117,0.175,-0.59,0.184619790705605,0.371016254663444
"118",118,0.188333333333333,-0.586,0.185813465580215,0.338670871472103
"119",119,0.21,-0.534,0.228521820013368,0.4461216087525
"120",120,0.173333333333333,-0.598,0.203317162287707,0.405819905769009
"121",121,0.203333333333333,-0.544,0.207675833212919,0.415593993396125
"122",122,0.175,-0.606,0.202905482726897,0.376021058897895
"123",123,0.166666666666667,-0.602,0.19047619047619,0.372794192825051
"124",124,0.191666666666667,-0.57,0.210448446781711,0.414162543266406
"125",125,0.176666666666667,-0.592,0.201074212673499,0.382174231021851
"126",126,0.188333333333333,-0.58,0.223232538936216,0.430471976380553
"127",127,0.171666666666667,-0.608,0.200912036121541,0.359614305860587
"128",128,0.213333333333333,-0.53,0.220260616609109,0.419061146967789
"129",129,0.176666666666667,-0.6,0.208683379392004,0.414039335605413
"130",130,0.196666666666667,-0.564,0.192518809635558,0.374034812305388
"131",131,0.185,-0.572,0.195100125466172,0.396433075907485
